jogador;genero;data_nascimento;jogo;pais;num_vitorias;num_derrotas;total_partidas;media
jogador 1;Masculino;03/09/1990;Dama;Chile;14;0;14;1
Jogador 2;Feminino;01/05/1986;Jogo da velha;Chile;39;20;59;0,661016949
Jogador 3;Masculino;04/10/1964;Jogo da velha;Brasil;26;3;29;0,896551724
Jogador 4;Masculino;28/09/1979;Jogo da velha;Argentina;9;72;81;0,111111111
Jogador 5;Masculino;03/09/1978;Dama;Uruguai;1;54;55;0,018181818
Jogador 6;Masculino;04/11/1977;Xadrez;Brasil;88;0;88;1
Jogador 7;Masculino;11/11/1986;Xadrez;Argentina;53;24;77;0,688311688
Jogador 8;Feminino;18/03/1996;Jogo da velha;Brasil;35;27;62;0,564516129
Jogador 9;Masculino;14/01/1969;Dama;Paraguai;27;18;45;0,6
Jogador 10;Masculino;06/05/2004;Xadrez;Chile;4;1;5;0,8
Jogador 11;Masculino;25/09/1975;Xadrez;Brasil;18;48;66;0,272727273
Jogador 12;Feminino;05/07/1992;Xadrez;Uruguai;22;2;24;0,916666667
Jogador 13;Masculino;19/06/1996;Xadrez;Chile;13;4;17;0,764705882
Jogador 14;Feminino;08/10/1980;Dama;Argentina;22;52;74;0,297297297
Jogador 15;Feminino;18/10/1955;Dama;Chile;38;48;86;0,441860465
Jogador 16;Feminino;01/11/1999;Xadrez;Chile;86;13;99;0,868686869
Jogador 17;Masculino;01/02/1984;Xadrez;Brasil;41;11;52;0,788461538
Jogador 18;Feminino;07/02/1981;Jogo da velha;Chile;53;20;73;0,726027397
Jogador 19;Feminino;11/08/2004;Xadrez;Chile;4;77;81;0,049382716
Jogador 20;Masculino;30/06/1954;Jogo da velha;Argentina;28;12;40;0,7
Jogador 21;Feminino;05/09/1954;Xadrez;Brasil;10;82;92;0,108695652
Jogador 22;Feminino;16/06/1955;Xadrez;Uruguai;40;31;71;0,563380282
Jogador 23;Feminino;30/12/1997;Xadrez;Uruguai;11;18;29;0,379310345
Jogador 24;Masculino;30/11/1988;Xadrez;Paraguai;5;12;17;0,294117647
Jogador 25;Feminino;28/12/1970;Jogo da velha;Paraguai;8;58;66;0,121212121
Jogador 26;Feminino;15/02/1963;Jogo da velha;Uruguai;4;6;10;0,4
Jogador 27;Feminino;31/07/1994;Jogo da velha;Chile;84;11;95;0,884210526
Jogador 28;Masculino;15/12/1962;Xadrez;Paraguai;10;32;42;0,238095238
Jogador 29;Masculino;22/11/1984;Dama;Brasil;9;22;31;0,290322581
Jogador 30;Feminino;17/03/2003;Xadrez;Paraguai;10;46;56;0,178571429
Jogador 31;Masculino;17/01/1959;Dama;Paraguai;38;6;44;0,863636364
Jogador 32;Masculino;24/03/1951;Jogo da velha;Uruguai;2;47;49;0,040816327
Jogador 33;Feminino;14/07/1953;Xadrez;Chile;46;36;82;0,56097561
Jogador 34;Feminino;12/09/1956;Xadrez;Argentina;16;4;20;0,8
Jogador 35;Masculino;09/12/1951;Xadrez;Uruguai;33;3;36;0,916666667
Jogador 36;Masculino;05/12/1973;Jogo da velha;Brasil;48;31;79;0,607594937
Jogador 37;Feminino;07/11/1989;Dama;Paraguai;36;18;54;0,666666667
Jogador 38;Masculino;06/11/1966;Dama;Brasil;1;42;43;0,023255814
Jogador 39;Masculino;07/03/1955;Jogo da velha;Chile;23;4;27;0,851851852
Jogador 40;Masculino;06/02/1990;Jogo da velha;Chile;8;23;31;0,258064516
Jogador 41;Masculino;17/07/1953;Dama;Paraguai;8;17;25;0,32
Jogador 42;Feminino;18/06/1998;Dama;Paraguai;1;14;15;0,066666667
Jogador 43;Masculino;14/07/1951;Dama;Argentina;31;7;38;0,815789474
